date,month,numerator,denominator,calc_value,org_code,name
2021-12-01,32,4973,9193,0.5409550745132166,02P,NHS BARNSLEY
2022-01-01,33,4613,8546,0.53978469459396206,02P,NHS BARNSLEY
2022-02-01,34,4056,7483,0.5420285981558198,02P,NHS BARNSLEY
2022-03-01,35,4731,8710,0.5431687715269805,02P,NHS BARNSLEY
2022-04-01,36,4477,8299,0.5394625858537173,02P,NHS BARNSLEY
2022-05-01,37,4647,8606,0.5399721124796654,02P,NHS BARNSLEY
2022-06-01,38,4998,9059,0.5517165250027597,02P,NHS BARNSLEY
2022-07-01,39,4728,8664,0.5457063711911357,02P,NHS BARNSLEY
2022-08-01,40,4697,8597,0.5463533790857276,02P,NHS BARNSLEY
2022-09-01,41,4904,9067,0.5408624682916069,02P,NHS BARNSLEY
2022-10-01,42,4639,8472,0.5475684608120869,02P,NHS BARNSLEY
2022-11-01,43,4929,8994,0.548032021347565,02P,NHS BARNSLEY
2022-12-01,44,5272,9560,0.5514644351464435,02P,NHS BARNSLEY
2023-01-01,45,5047,9097,0.5547982851489502,02P,NHS BARNSLEY
2023-02-01,46,4496,8275,0.5433232628398792,02P,NHS BARNSLEY
2023-03-01,47,4956,9141,0.5421726288152281,02P,NHS BARNSLEY
2023-04-01,48,4440,8206,0.5410675115768949,02P,NHS BARNSLEY
2023-05-01,49,4538,8570,0.5295215869311551,02P,NHS BARNSLEY
2023-06-01,50,4990,9144,0.5457130358705162,02P,NHS BARNSLEY
2023-07-01,51,4560,8517,0.5353997886579782,02P,NHS BARNSLEY
2023-08-01,52,4580,8641,0.5300312463835204,02P,NHS BARNSLEY
2023-09-01,53,4450,8310,0.5354993983152828,02P,NHS BARNSLEY
2023-10-01,54,4788,9007,0.5315865437992673,02P,NHS BARNSLEY
2023-11-01,55,4712,8792,0.5359417652411284,02P,NHS BARNSLEY
2023-12-01,56,4869,9093,0.5354668426261959,02P,NHS BARNSLEY
2024-01-01,57,4816,9127,0.5276651692779665,02P,NHS BARNSLEY
2024-02-01,58,4451,8410,0.5292508917954816,02P,NHS BARNSLEY
2024-03-01,59,4467,8537,0.5232517277732225,02P,NHS BARNSLEY
2024-04-01,60,4649,8847,0.5254888662823556,02P,NHS BARNSLEY
2019-04-01,0,6078,11620,0.5230636833046471,01X,NHS ST HELENS
2019-05-01,1,6815,13010,0.5238278247501922,01X,NHS ST HELENS
2019-06-01,2,5894,11284,0.5223325062034739,01X,NHS ST HELENS
2019-07-01,3,6216,11938,0.5206902328698274,01X,NHS ST HELENS
2019-08-01,4,6435,12438,0.5173661360347322,01X,NHS ST HELENS
2019-09-01,5,6183,11811,0.523495046990094,01X,NHS ST HELENS
2019-10-01,6,6620,12734,0.5198680697345689,01X,NHS ST HELENS
2019-11-01,7,6379,12188,0.5233836560551361,01X,NHS ST HELENS
2019-12-01,8,6741,12808,0.5263116801998751,01X,NHS ST HELENS
2020-01-01,9,6721,12810,0.5246682279469165,01X,NHS ST HELENS
2020-02-01,10,5831,11290,0.516474756421612,01X,NHS ST HELENS
2020-03-01,11,9027,16845,0.535886019590383,01X,NHS ST HELENS
2020-04-01,12,6742,13010,0.518216756341276,01X,NHS ST HELENS
2020-05-01,13,5944,11548,0.514721163837894,01X,NHS ST HELENS
2020-06-01,14,6038,11951,0.5052296878922266,01X,NHS ST HELENS
2020-07-01,15,6105,11972,0.5099398596725693,01X,NHS ST HELENS
2020-08-01,16,5490,10793,0.5086630223292875,01X,NHS ST HELENS
2020-09-01,17,6643,12759,0.5206520887216867,01X,NHS ST HELENS
2020-10-01,18,6315,12279,0.5142926948448571,01X,NHS ST HELENS
2020-11-01,19,6176,11989,0.5151388773041955,01X,NHS ST HELENS
2020-12-01,20,6726,13099,0.5134743110161081,01X,NHS ST HELENS
2021-01-01,21,6065,11760,0.5157312925170068,01X,NHS ST HELENS
2021-02-01,22,5635,11083,0.508436343950194,01X,NHS ST HELENS
2021-03-01,23,6191,12120,0.5108085808580858,01X,NHS ST HELENS
2021-04-01,24,6010,11717,0.5129299308696765,01X,NHS ST HELENS
2021-05-01,25,5956,11422,0.5214498336543513,01X,NHS ST HELENS
2021-06-01,26,6259,12095,0.5174865646961554,01X,NHS ST HELENS
2021-07-01,27,6340,12375,0.5123232323232323,01X,NHS ST HELENS
2021-08-01,28,5896,11501,0.5126510738196679,01X,NHS ST HELENS
2021-09-01,29,6585,12674,0.5195676187470412,01X,NHS ST HELENS
2021-10-01,30,6439,12343,0.5216722028680224,01X,NHS ST HELENS
2021-11-01,31,6615,12597,0.5251250297689927,01X,NHS ST HELENS
2021-12-01,32,6952,13488,0.5154211150652431,01X,NHS ST HELENS
2022-01-01,33,6203,11957,0.5187756126118591,01X,NHS ST HELENS
2022-02-01,34,5867,11419,0.5137928014712322,01X,NHS ST HELENS
2022-03-01,35,6841,13237,0.516808944624915,01X,NHS ST HELENS
2022-04-01,36,6194,12016,0.515479360852197,01X,NHS ST HELENS
2022-05-01,37,6808,13064,0.5211267605633803,01X,NHS ST HELENS
2022-06-01,38,6719,12840,0.5232866043613708,01X,NHS ST HELENS
2022-07-01,39,6646,12826,0.5181662248557617,01X,NHS ST HELENS
2022-08-01,40,6897,13186,0.5230547550432276,01X,NHS ST HELENS
2022-09-01,41,6687,12775,0.5234442270058708,01X,NHS ST HELENS
2022-10-01,42,6633,12680,0.5231072555205047,01X,NHS ST HELENS
2022-11-01,43,6848,12976,0.5277435265104808,01X,NHS ST HELENS
2022-12-01,44,7971,14950,0.5331772575250836,01X,NHS ST HELENS
2023-01-01,45,7271,13586,0.535183276902694,01X,NHS ST HELENS
2023-02-01,46,6373,12203,0.5222486273867082,01X,NHS ST HELENS
2023-03-01,47,7296,13733,0.5312750309473531,01X,NHS ST HELENS
2023-04-01,48,6466,12365,0.5229276182773959,01X,NHS ST HELENS
2023-05-01,49,6722,12754,0.5270503371491296,01X,NHS ST HELENS
2023-06-01,50,7079,13372,0.5293897696679629,01X,NHS ST HELENS
2023-07-01,51,6558,12390,0.5292978208232445,01X,NHS ST HELENS
2023-08-01,52,6652,12648,0.5259329538266919,01X,NHS ST HELENS
2023-09-01,53,6510,12269,0.5306055913277365,01X,NHS ST HELENS
2023-10-01,54,7075,13291,0.5323151004439094,01X,NHS ST HELENS
2023-11-01,55,7093,13176,0.5383272616879174,01X,NHS ST HELENS
